ds,yearly
2010-01-03,0.24314369074897155
2010-01-10,0.18938070487336212
2010-01-17,0.1893864273355808
2010-01-24,0.19393048225690557
2010-01-31,0.15923050488099605
2010-02-07,0.09321335750361964
2010-02-14,0.04031269153655748
2010-02-21,0.02840863992153806
2010-02-28,0.04438789062452493
2010-03-07,0.06184318018640689
2010-03-14,0.07640832703468133
2010-03-21,0.10023630980799782
2010-03-28,0.1282760589138946
2010-04-04,0.1302485913707537
2010-04-11,0.0869794295663496
2010-04-18,0.02528624496920298
2010-04-25,0.0003520117033825453
2010-05-02,0.03978767951606905
2010-05-09,0.11590369224575368
2010-05-16,0.18148198496687767
2010-05-23,0.22580085797944105
2010-05-30,0.2813077751691178
2010-06-06,0.372632180101314
2010-06-13,0.47260139330141515
2010-06-20,0.5223042249523835
2010-06-27,0.4928795781648081
2010-07-04,0.4149833229442952
2010-07-11,0.34209031403888057
2010-07-18,0.29432945632573604
2010-07-25,0.24956270475149475
2010-08-01,0.18574078094543098
2010-08-08,0.11553972848887126
2010-08-15,0.0701346524202862
2010-08-22,0.05881712165931248
2010-08-29,0.06137434273810726
2010-09-05,0.062219233522385266
2010-09-12,0.07578257972497905
2010-09-19,0.12396746179256658
2010-09-26,0.19533373245631863
2010-10-03,0.24814681677217568
2010-10-10,0.26530417348515833
2010-10-17,0.2939709363895762
2010-10-24,0.40819958399180367
2010-10-31,0.6230845567696334
2010-11-07,0.856457044904013
2010-11-14,0.9900091288046986
2010-11-21,0.971001960005114
2010-11-28,0.8482687814363555
2010-12-05,0.709850603279956
2010-12-12,0.5979864414732945
2010-12-19,0.49373444474577627
2010-12-26,0.37393028990114047
2011-01-02,0.25941800946177984
2011-01-09,0.19419731924877942
2011-01-16,0.18731630245236347
2011-01-23,0.19528810146911083
2011-01-30,0.1686968260418754
2011-02-06,0.10540721908079523
2011-02-13,0.04699911640498629
2011-02-20,0.027676386739019145
2011-02-27,0.040829616055053065
2011-03-06,0.05919450096216034
2011-03-13,0.07344248729136917
2011-03-20,0.09510266373891195
2011-03-27,0.12416618407588047
2011-04-03,0.13317086894979205
2011-04-10,0.09747157488466283
2011-04-17,0.035167493700337234
2011-04-24,0.000138649788577342
2011-05-01,0.028647925136175395
2011-05-08,0.10194639729209623
2011-05-15,0.17174991175145554
2011-05-22,0.21827471141621443
2011-05-29,0.26891054035842765
2011-06-05,0.3541842613882402
2011-06-12,0.45677454132507916
2011-06-19,0.5191998490031047
2011-06-26,0.503229704289622
2011-07-03,0.4298848062155637
2011-07-10,0.35315555980563934
2011-07-17,0.3016919897480475
2011-07-24,0.258698282200578
2011-07-31,0.19844405907056986
2011-08-07,0.12707042733596743
2011-08-14,0.0755199147209204
2011-08-21,0.05904686431318263
2011-08-28,0.060958806149304115
2011-09-04,0.06190581182070375
2011-09-11,0.07119642450591725
2011-09-18,0.11273490839776051
2011-09-25,0.18268800914887262
2011-10-02,0.24162587773117444
2011-10-09,0.26355020613145286
2011-10-16,0.28442498856517845
2011-10-23,0.3795304775701615
2011-10-30,0.5799228191937227
2011-11-06,0.819034727933782
2011-11-13,0.9772545830024971
2011-11-20,0.9844814162677755
2011-11-27,0.8736498423068929
2011-12-04,0.7328622152038676
2011-12-11,0.6163803467431546
2011-12-18,0.5132865926007488
2011-12-25,0.3961529638705272
2012-01-01,0.2773717259722756
2012-01-08,0.2010369827299857
2012-01-15,0.18573763758550552
2012-01-22,0.1953974436685561
2012-01-29,0.17686037020125656
2012-02-05,0.11778388846248339
2012-02-12,0.055060208122836275
2012-02-19,0.028040424029522837
2012-02-26,0.03737528780586457
2012-03-04,0.056345149057226374
2012-03-11,0.07074988055516945
2012-03-18,0.09029621720209237
2012-03-25,0.11941421390885179
2012-04-01,0.13453768761816884
2012-04-08,0.10700305855881592
2012-04-15,0.04597029901429118
2012-04-22,0.0021197413442989527
2012-04-29,0.019026431249792995
2012-05-06,0.0877875374415182
2012-05-13,0.16112724980225707
2012-05-20,0.21086851322845138
2012-05-27,0.2577660028369752
2012-06-03,0.3364139633486609
2012-06-10,0.4396090591675697
2012-06-17,0.5134149100103873
2012-06-24,0.511652062099377
2012-07-01,0.4447602744680282
2012-07-08,0.3651676557642766
2012-07-15,0.3093489809509112
2012-07-22,0.2671803820678622
2012-07-29,0.21071451116993878
2012-08-05,0.1392844884874936
2012-08-12,0.08212610041810181
2012-08-19,0.05987070627582359
2012-08-26,0.06041868974967083
2012-09-02,0.061807911711319635
2012-09-09,0.06772444627290326
2012-09-16,0.10252507745126359
2012-09-23,0.16965741696228484
2012-09-30,0.23373543894921056
2012-10-07,0.2616351780267472
2012-10-14,0.27737160603598476
2012-10-21,0.35451067149994536
2012-10-28,0.538156626227414
2012-11-04,0.7788851137661053
2012-11-11,0.9593778401071225
2012-11-18,0.9940377230779348
2012-11-25,0.8981877525780063
2012-12-02,0.7568503733368207
2012-12-09,0.6352461218237516
2012-12-16,0.5322604590149979
2012-12-23,0.4182205369451652
2012-12-30,0.2967569178735208
2013-01-06,0.20999229622258975
2013-01-13,0.18500729741778796
2013-01-20,0.19448123034225817
2013-01-27,0.18358107704296855
2013-02-03,0.1300409214050676
2013-02-10,0.06438231896581077
2013-02-17,0.029646179928373876
2013-02-24,0.034183003113950235
2013-03-03,0.053270644729531386
2013-03-10,0.06823756280627859
2013-03-17,0.08588720418636954
2013-03-24,0.11423838681739115
2013-03-31,0.13443033684313568
2013-04-07,0.11533683191581094
2013-04-14,0.05734028299142729
2013-04-21,0.006198584905796192
2013-04-28,0.011175840603351972
2013-05-05,0.07371378937052578
